water wood tree
metal fire Gold
water soil Mud
fire soil dust
fire wood dust
water fire Air
tree tree forest
forest fire dust
dust soil desert
desert sea Beach
dust water paper
paper city Map
paper country Map
paper land Map
paper earth Map
paper paper book
paper fire dust
book fire dust
fire metal sun
sun water planet
planet water Mercury
planet fire Mars
planet soil Saturn
planet wood Jupiter
planet metal Venus
water water lake
lake lake sea
lake water sea
sea sea ocean
sea water ocean
sea lake ocean
soil soil city
city city country
country country land
land ocean Earth
. . .
